call/composition/	composition
call/function/	function_call:.+
call/function/builtin/\1/	function_call:(abs|delattr|hash|memoryview|all|help|min|setattr|any|dir|hex|next|slice|ascii|divmod|id|object|sorted|bin|enumerate|input|oct|staticmethod|eval|open|str|breakpoint|exec|isinstance|ord|sum|filter|issubclass|pow|super|iter|print|callable|format|len|property|type|chr|range|vars|classmethod|getattr|locals|repr|zip|compile|globals|map|reversed|__import__|hasattr|max|round)
call/function/builtin/casting/\1/	function_call:(set|dict|bool|int|bytearray|bytes|float|tuple|frozenset|list|complex)
call/function/predicate/	function_call:(is_|are_).+
call/method/	method_call
call/method/chaining/	method_chaining
call/method/dictionary/\1/	method_call:(clear|copy|fromkeys|get|items|keys|pop|popitem|reversed|setdefault|update|values)
call/method/sequence/\1/	method_call:(count|index)
call/method/sequence/mutable/\1/	method_call:(append|clear|copy|extend|insert|pop|remove|reverse)
call/method/sequence/mutable/list/\1/	method_call:(sort)
call/method/sequence/string/\1/	method_call:(casefold|center|count|encode|endswith|expandtabs|format_map|index|isalnum|isalpha|isascii|isdecimal|isdigit|isidentifier|isnumeric|isprintable|isspace|istitle|isupper|join|ljust|lower|lstrip|partition|replace|rfind|rindex|rjust|rpartition|rsplit|rstrip|strip|title|upper|zfill)
call/method/set/\1/	method_call:(add|clear|copy|difference_update|difference|discard|intersection_update|intersection|isdisjoint|issubset|issuperset|pop|remove|symmetric_difference_update|symmetric_difference|union|update)
category/\1/	category:(.+)
control_flow/conditional/	if
control_flow/conditional/else/	if_else_branch
control_flow/conditional/else/chained/	if_elif_branch
control_flow/conditional/nested/\1/	nested_if:(.+)
control_flow/loop/sequential/	for
control_flow/loop/sequential/arithmetic/	for_range_stop
control_flow/loop/sequential/arithmetic/start/	for_range_start
control_flow/loop/sequential/arithmetic/start/step/	for_range_step
control_flow/loop/sequential/arithmetic/start/step/backwards/	for_range_step:-.+
control_flow/loop/sequential/elements_and_indexes/	for_indexes_elements
control_flow/loop/sequential/elements/	for_each
control_flow/loop/sequential/indexes/	for_indexes
control_flow/loop/sequential/nested/\1/	nested_for:(.+)
control_flow/loop/sequential/nested/square/	square_nested_for
control_flow/loop/sequential/nested/triangular/	triangular_nested_for
exception/catch/	catch_exception:.+
exception/catch/\1/	catch_exception:(BaseException|SystemExit|KeyboardInterrupt|GeneratorExit|Exception|StopIteration|StopAsyncIteration|ArithmeticError|FloatingPointError|OverflowError|ZeroDivisionError|AssertionError|AttributeError|BufferError|EOFError|ImportError|ModuleNotFoundError|LookupError|IndexError|KeyError|MemoryError|NameError|UnboundLocalError|OSError|BlockingIOError|ChildProcessError|ConnectionError|BrokenPipeError|ConnectionAbortedError|ConnectionRefusedError|ConnectionResetError|FileExistsError|FileNotFoundError|InterruptedError|IsADirectoryError|NotADirectoryError|PermissionError|ProcessLookupError|TimeoutError|ReferenceError|RuntimeError|NotImplementedError|RecursionError|SyntaxError|IndentationError|TabError|SystemError|TypeError|ValueError|UnicodeError|UnicodeDecodeError|UnicodeEncodeError|UnicodeTranslateError|Warning|DeprecationWarning|PendingDeprecationWarning|RuntimeWarning|SyntaxWarning|UserWarning|FutureWarning|ImportWarning|UnicodeWarning|BytesWarning|ResourceWarning)
exception/raise/	raise_exception:.+
exception/raise/\1/	raise_exception:(BaseException|SystemExit|KeyboardInterrupt|GeneratorExit|Exception|StopIteration|StopAsyncIteration|ArithmeticError|FloatingPointError|OverflowError|ZeroDivisionError|AssertionError|AttributeError|BufferError|EOFError|ImportError|ModuleNotFoundError|LookupError|IndexError|KeyError|MemoryError|NameError|UnboundLocalError|OSError|BlockingIOError|ChildProcessError|ConnectionError|BrokenPipeError|ConnectionAbortedError|ConnectionRefusedError|ConnectionResetError|FileExistsError|FileNotFoundError|InterruptedError|IsADirectoryError|NotADirectoryError|PermissionError|ProcessLookupError|TimeoutError|ReferenceError|RuntimeError|NotImplementedError|RecursionError|SyntaxError|IndentationError|TabError|SystemError|TypeError|ValueError|UnicodeError|UnicodeDecodeError|UnicodeEncodeError|UnicodeTranslateError|Warning|DeprecationWarning|PendingDeprecationWarning|RuntimeWarning|SyntaxWarning|UserWarning|FutureWarning|ImportWarning|UnicodeWarning|BytesWarning|ResourceWarning)
function_definition/method/avoid_conflict/	function:.+_(?>!_)
function_definition/method/internal_use/	function:_(?!_).+
function_definition/method/internal_use/name_mangling/	function:__.+(?<!__)
function_definition/method/magic/	function:__.+__
function_definition/nested/	nested_function:.+
function_definition/nested/closure/	closure:.+
function_definition/predicate/	function:(is|can|has|are|have)_.+
function_definition/procedure/	procedure:.+
function_definition/recursive/	recursive_function
function_definition/recursive/deep/	deeply_recursive_function
function_definition/test/	function:.+_tests?
function_definition/test/	function:test_.+
library/	import(_from|_by_call)?:.+
library/standard/\1/	import(?:_from|_by_call)?:(string|re|difflib|textwrap|unicodedata|stringprep|readline|rlcompleter|struct|codecs|datetime|calendar|collections|collections\.abc|heapq|bisect|array|weakref|types|copy|pprint|reprlib|enum|numbers|math|cmath|decimal|fractions|random|statistics|itertools|functools|operator|pathlib|os\.path|fileinput|stat|filecmp|tempfile|glob|fnmatch|linecache|shutil|pickle|copyreg|shelve|marshal|dbm|sqlite3|zlib|gzip|bz2|lzma|zipfile|tarfile|csv|configparser|netrc|xdrlib|plistlib|hashlib|hmac|secrets|os|io|time|argparse|getopt|logging|logging\.config|logging\.handlers|getpass|curses|curses\.textpad|curses\.ascii|curses\.panel|platform|errno|ctypes|threading|multiprocessing|multiprocessing\.shared_memory|concurrent\.futures|subprocess|sched|queue|_thread|_dummy_thread|dummy_threading|contextvars|asyncio|socket|ssl|select|selectors|asyncore|asynchat|signal|mmap|email|json|mailcap|mailbox|mimetypes|base64|binhex|binascii|quopri|uu|html|html\.parser|html\.entities|xml\.etree\.ElementTree|xml\.dom|xml\.dom\.minidom|xml\.dom\.pulldom|xml\.sax|xml\.sax\.handler|xml\.sax\.saxutils|xml\.sax\.xmlreader|xml\.parsers\.expat|webbrowser|cgi|cgitb|wsgiref|urllib|urllib\.request|urllib\.response|urllib\.parse|urllib\.error|urllib\.robotparser|http|http\.client|ftplib|poplib|imaplib|nntplib|smtplib|smtpd|telnetlib|uuid|socketserver|http\.server|http\.cookies|http\.cookiejar|xmlrpc|xmlrpc\.client|xmlrpc\.server|ipaddress|audioop|aifc|sunau|wave|chunk|colorsys|imghdr|sndhdr|ossaudiodev|gettext|locale|turtle|cmd|shlex|tkinter|tkinter\.ttk|tkinter\.tix|tkinter\.scrolledtext|typing|pydoc|doctest|unittest|unittest\.mock|unittest\.mock|test|test\.support|test\.support\.script_helper|bdb|faulthandler|pdb|timeit|trace|tracemalloc|distutils|ensurepip|venv|zipapp|sys|sysconfig|builtins|__main__|warnings|dataclasses|contextlib|abc|atexit|traceback|__future__|gc|inspect|site|code|codeop|zipimport|pkgutil|modulefinder|runpy|importlib|parser|ast|symtable|symbol|token|keyword|tokenize|tabnanny|pyclbr|py_compile|compileall|dis|pickletools|formatter|msilib|msvcrt|winreg|winsound|posix|pwd|spwd|grp|crypt|termios|tty|pty|fcntl|pipes|resource|nis|syslog|optparse|imp)
operator/addition/	binary_operator:Add
operator/bitwise/and/	binary_operator:BitAnd
operator/bitwise/complement/	unary_operator:Invert
operator/bitwise/or/	binary_operator:BitOr
operator/bitwise/shift/left/	binary_operator:LShift
operator/bitwise/shift/right/	binary_operator:RShift
operator/bitwise/xor/	binary_operator:BitXor
operator/boolean/and/	boolean_operator:And
operator/boolean/and/short_circuit/	short_circuit:And
